invoice_date,external_invoice_number,branch_code,invoice_type,channel,payment_method,line_number,sku,product_name,category,quantity,unit_price,discount_rate,net_sales,vat_rate,tax_amount,total_amount,currency
2025-01-01,3SC-RYD-20250101-00001,3SC-RYD,sale,delivery,card,1,CLD-BRW,Cold Brew,Brewed,1,24.0,0.1,21.6,0.15,3.24,24.84,SAR
2025-01-01,3SC-RYD-20250101-00001,3SC-RYD,sale,delivery,card,2,ESP-SGL,Single Espresso,Espresso,1,21.67,0.05,20.59,0.15,3.09,23.68,SAR
2025-01-01,3SC-RYD-20250101-00002,3SC-RYD,sale,in_store,card,1,DRP-REG,Drip Coffee,Brewed,1,18.0,0.0,18.0,0.15,2.7,20.7,SAR
2025-01-01,3SC-RYD-20250101-00003,3SC-RYD,sale,in_store,card,1,ESP-DBL,Double Espresso,Espresso,2,24.5,0.0,49.0,0.15,7.35,56.35,SAR
2025-01-01,3SC-RYD-20250101-00003,3SC-RYD,sale,in_store,card,2,CLD-BRW,Cold Brew,Brewed,1,24.0,0.05,22.8,0.15,3.42,26.22,SAR
2025-01-01,3SC-RYD-20250101-00004,3SC-RYD,sale,take_away,cash,1,ESP-SGL,Single Espresso,Espresso,1,21.67,0.0,21.67,0.15,3.25,24.92,SAR
2025-01-01,3SC-RYD-20250101-00005,3SC-RYD,sale,in_store,card,1,PST-CRS,Butter Croissant,Pastries,2,12.0,0.05,22.8,0.15,3.42,26.22,SAR
2025-01-01,3SC-RYD-20250101-00005,3SC-RYD,sale,in_store,card,2,CLD-BRW,Cold Brew,Brewed,2,24.0,0.0,48.0,0.15,7.2,55.2,SAR
2025-01-01,3SC-RYD-20250101-00006,3SC-RYD,sale,delivery,cash,1,PST-MFN,Blueberry Muffin,Pastries,1,13.0,0.0,13.0,0.15,1.95,14.95,SAR
2025-01-01,3SC-RYD-20250101-00006,3SC-RYD,sale,delivery,cash,2,ESP-DBL,Double Espresso,Espresso,2,24.5,0.1,44.1,0.15,6.62,50.72,SAR
2025-01-01,3SC-RYD-20250101-00006,3SC-RYD,sale,delivery,cash,3,CLD-BRW,Cold Brew,Brewed,2,24.0,0.1,43.2,0.15,6.48,49.68,SAR
2025-01-01,3SC-RYD-20250101-00007,3SC-RYD,sale,delivery,card,1,LAT-LRG,Latte (Large),Espresso,2,26.5,0.05,50.35,0.15,7.55,57.9,SAR
2025-01-01,3SC-RYD-20250101-00007,3SC-RYD,sale,delivery,card,2,DRP-REG,Drip Coffee,Brewed,1,18.0,0.05,17.1,0.15,2.56,19.66,SAR
2025-01-01,3SC-RYD-20250101-00007,3SC-RYD,sale,delivery,card,3,ESP-SGL,Single Espresso,Espresso,1,21.67,0.1,19.5,0.15,2.92,22.42,SAR
2025-01-01,3SC-RYD-20250101-00008,3SC-RYD,sale,in_store,cash,1,DRP-REG,Drip Coffee,Brewed,1,18.0,0.0,18.0,0.15,2.7,20.7,SAR
2025-01-01,3SC-RYD-20250101-00008,3SC-RYD,sale,in_store,cash,2,ESP-SGL,Single Espresso,Espresso,1,21.67,0.0,21.67,0.15,3.25,24.92,SAR
2025-01-01,3SC-RYD2-20250101-00009,3SC-RYD2,sale,in_store,cash,1,ESP-SGL,Single Espresso,Espresso,2,21.67,0.0,43.34,0.15,6.5,49.84,SAR
2025-01-01,3SC-RYD2-20250101-00009,3SC-RYD2,sale,in_store,cash,2,DRP-REG,Drip Coffee,Brewed,2,18.0,0.0,36.0,0.15,5.4,41.4,SAR
2025-01-01,3SC-RYD2-20250101-00009,3SC-RYD2,sale,in_store,cash,3,LAT-LRG,Latte (Large),Espresso,1,26.5,0.1,23.85,0.15,3.58,27.43,SAR
2025-01-01,3SC-RYD2-20250101-00010,3SC-RYD2,sale,delivery,cash,1,ESP-SGL,Single Espresso,Espresso,1,21.67,0.1,19.5,0.15,2.92,22.42,SAR
2025-01-01,3SC-RYD2-20250101-00011,3SC-RYD2,sale,in_store,card,1,DRP-REG,Drip Coffee,Brewed,1,18.0,0.1,16.2,0.15,2.43,18.63,SAR
2025-01-01,3SC-RYD2-20250101-00011,3SC-RYD2,sale,in_store,card,2,PST-MFN,Blueberry Muffin,Pastries,2,13.0,0.0,26.0,0.15,3.9,29.9,SAR
